path,family,role,status,note,format,mode,width,height,bytes,has_transparency,transparent_margins_ltrb,alpha_touches_edges,alpha_bbox,sha256,error
public/brand-kit-icon-sheets/cast-icon-sheet.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Use only in its documented canonical role.,PNG,RGB,2800,2500,2982744,False,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 2800, 2500]",154fafc011543a75d875f1a893c1e471cf0dd0ebc8e085ca959ccf7d1649d2a8,
public/brand-kit-icon-sheets/curriculum-grade-icon-sheet.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Use only in its documented canonical role.,PNG,RGB,2200,1800,3158891,False,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 2200, 1800]",a6126030df77f49c77a976d7f9ce9f476839640f717306c2ab85a0df8307638d,
public/brand-kit-icon-sheets/curriculum-subject-icon-sheet.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Use only in its documented canonical role.,PNG,RGB,2800,1700,3152842,False,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 2800, 1700]",34e631c19548fc59bfbe7217216ddd011dee9f3d033a125321fdf8e8b9369b91,
public/brand-kit-icon-sheets/grade-icons-atlas.png,brand-kit curriculum icons,reference sheet / atlas,REFERENCE ONLY,Use to select or compare assets; do not flatten interactive UI from it.,PNG,RGBA,1254,1254,1972964,True,"[79, 88, 98, 77]",[],"[79, 88, 1156, 1177]",03fd0f8ff7eac773ab5d138a14ae0ef660e5808ecc66a963323924dc77989de9,
public/brand-kit-icon-sheets/grade-icons-keyed.png,brand-kit curriculum icons,reference sheet / atlas,REFERENCE ONLY,Use to select or compare assets; do not flatten interactive UI from it.,PNG,RGB,1254,1254,2266189,False,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 1254, 1254]",f3569b897327f137ddc52522a8c17835ac9fbfa0a557dda3089dc804502c7dbe,
public/brand-kit-icon-sheets/individual-icons/grade-1.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,491,504,469782,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 491, 504]",29f9b3a3725d63fe8f24014b57b04e6b242c9f18a83d53487ede06c742c11f12,
public/brand-kit-icon-sheets/individual-icons/grade-2.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,499,507,492533,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 499, 507]",5f25e5d2de35e9840b9535a0463fb53e0c7995339514a9ed0661a84b4704dcb5,
public/brand-kit-icon-sheets/individual-icons/grade-daycare.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,496,512,483161,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 496, 512]",c4c14b1dea0508c62cac1ccdfe668fb9c1c4eefa52def1cd3adc1fa88f8d48b9,
public/brand-kit-icon-sheets/individual-icons/grade-kindergarten.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,505,506,488991,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 505, 506]",980add25e32a82b6ee2c5e0dccae6e6fc3793217e05a0f14537fb3ef9ae1dc2b,
public/brand-kit-icon-sheets/individual-icons/subject-art-photography.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,305,345,253170,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 305, 345]",2a285f998ecc89dee181e3a997d99eac0d5997e729b23e5619f0d74558d3f9f6,
public/brand-kit-icon-sheets/individual-icons/subject-community-leadership.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,340,356,254154,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 340, 356]",e907bc1f912bb143b8581ad866aa2ffa41ada90db3b8b42135cf808e442e4f5a,
public/brand-kit-icon-sheets/individual-icons/subject-drama-storytelling.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,324,357,275686,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 324, 357]",11d9f691fb4bffc46c67be8c6ec8aecfc52a4f33445c8bbfc4be71b6d83623aa,
public/brand-kit-icon-sheets/individual-icons/subject-early-learning.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,309,350,255526,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 309, 350]",d3c043841139cf06c33066ee87a9c3ed12aee6c609e776083d919ef738726d02,
public/brand-kit-icon-sheets/individual-icons/subject-gardening-health.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,334,359,284289,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 334, 359]",b1a7bc7382f768c43ead6e952b95a92f87af9ca091f6b6cfc45b91811e82b5e0,
public/brand-kit-icon-sheets/individual-icons/subject-math-building.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,318,343,293084,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 318, 343]",98a57df5772b2dedf4c249151df3b1d63a90522768d04128eb62d6071a7e00fe,
public/brand-kit-icon-sheets/individual-icons/subject-music-dance.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,334,357,243460,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 334, 357]",17b97eb9a4c8a3d07fc4eac04d1da3b986ca7ecf224c749a21426f1e7226e4a1,
public/brand-kit-icon-sheets/individual-icons/subject-physical-education.png,brand-kit curriculum icons,curriculum / classroom icon,USABLE SOURCE,Intentionally tight crop; preserve aspect ratio and add spacing in the layout slot.,PNG,RGBA,338,351,244118,True,"[0, 0, 0, 0]","['left', 'top', 'right', 'bottom']","[0, 0, 338, 351]",623b69729a24a30bb9090a00d3921904d434c2054ac0db2ddecc55805a3c320a,
